,Candidate,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Year,Category,Votes,ValidVotes,VoteSharePercentage,PartyID
63,baddambalreddy,BJP,1,12th Pass,64,M,6343740.0,0,0,andhra_pradesh,chevella,2009,GEN,112701,1085000,10.39,1605
64,dasarisaraladevi,MCPI(S),1,Not Given,39,F,530000.0,15000,0,andhra_pradesh,chevella,2009,GEN,3292,1085000,0.3,11590
65,gmalleshamgoud,IND,0,Graduate,32,M,400000.0,0,0,andhra_pradesh,chevella,2009,GEN,2107,1085000,0.19,10809
66,kummarigiri,PPOI,0,Not Given,28,M,,0,0,andhra_pradesh,chevella,2009,GEN,37076,1085000,3.42,6298
67,rameshwaramjangaiah,IND,0,Not Given,52,M,130000.0,0,0,andhra_pradesh,chevella,2009,GEN,2181,1085000,0.2,10809
68,samasrinivasulu,GRIP,0,10th Pass,34,M,,0,0,andhra_pradesh,chevella,2009,GEN,8618,1085000,0.79,10326
69,smallareddy,IND,0,5th Pass,43,M,2823736.0,0,0,andhra_pradesh,chevella,2009,GEN,14217,1085000,1.31,10809
70,naramallisivaprasad,TDP,0,Graduate Professional,57,M,6011000.0,0,1,andhra_pradesh,chittoor,2009,SC,434376,1044438,41.59,8300
71,aamarnadh,RKSP,0,Not Given,37,M,,0,0,andhra_pradesh,chittoor,2009,SC,3951,1044438,0.38,12157
72,bsivakumar,BJP,0,10th Pass,40,M,1549643.0,60000,0,andhra_pradesh,chittoor,2009,SC,10899,1044438,1.04,1605
