,Unnamed: 0,Sno,Candidate,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,State,Constituency,Year
3570,3570,3571,maneniveditasambhajirao,NCP,0,Graduate,46,30170798.0,1243141,0,maharashtra,hatkanangle,2009
3198,3198,3199,maneshwarinaik,RPI(A),0,12th Pass,65,1147000.0,0,0,madhya_pradesh,mandla,2009
1435,1435,1436,mangaldasbangare,IND,0,Others,52,2125000.0,0,0,chhattisgarh,rajnandgaon,2009
4755,4755,4756,mangalram,IND,1,10th Pass,46,5754974.0,0,0,rajasthan,bharatpur,2009
2963,2963,2964,mangalsinghlokhande,SWJP,0,5th Pass,51,156800.0,33000,0,madhya_pradesh,betul,2009
897,897,898,manganilalmandal,JD(U),2,Post Graduate,60,5398803.0,1709884,1,bihar,jhanjharpur,2009
4096,4096,4097,mangeshbharatkhade,IND,0,Literate,30,,0,0,maharashtra,thane,2009
5007,5007,5008,mangilal,IND,0,Not Given,54,35000.0,0,0,rajasthan,rajsamand,2009
4803,4803,4804,mangilal,BHBP,0,10th Pass,41,390000.0,0,0,rajasthan,churu,2009
4162,4162,4163,mangshirosemangshihaokip,IND,0,Post Graduate,63,6300000.0,0,0,manipur,outer_manipur,2009
1643,1643,1644,manharbhaikacharabhairathod,RSP(S),0,10th Pass,31,676500.0,0,0,gujarat,jamnagar,2009
5416,5416,5417,manianos,ADMK,1,12th Pass,53,8635089.0,2000000,1,tamil_nadu,mayiladuthurai,2009
4163,4163,4164,manicharenamei,PDA,0,Graduate,50,1550089.0,0,0,manipur,outer_manipur,2009
5310,5310,5311,manickamv,IND,0,Graduate,57,2643519.0,85518,0,tamil_nadu,kallakurichi,2009
2869,2869,2870,manickappen,NCP,4,Post Graduate,51,102402005.0,23100000,0,kerala,pathanamthitta,2009
5802,5802,5803,manickatagore,INC,0,Graduate Professional,36,3313910.0,0,1,tamil_nadu,virudhunagar,2009
5104,5104,5105,manig,IND,0,10th Pass,52,151600.0,0,0,tamil_nadu,chennai_central,2009
5380,5380,5381,manikandanm,IND,0,Not Given,33,113000.0,0,0,tamil_nadu,karur,2009
5742,5742,5743,manikandanp,IND,0,8th Pass,30,350000.0,0,0,tamil_nadu,tiruvannamalai,2009
5743,5743,5744,manikandans,DMDK,0,Graduate,29,1006447.0,163246,0,tamil_nadu,tiruvannamalai,2009
5201,5201,5202,manikandanv,IND,0,12th Pass,32,50000.0,0,0,tamil_nadu,chidambaram,2009
