,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Category
452,1,0,11,73,1,6730000.0,2424000,1,25,87,2
453,7,0,3,40,1,3081000.0,0,0,19,349,0
454,7,0,0,44,1,225000.0,19000,0,19,80,0
455,7,0,3,29,1,1760800.0,0,0,4,514,0
456,2,0,11,49,1,17049951.0,8195866,1,28,511,3
457,8,0,0,45,1,572000.0,0,0,33,62,2
458,8,0,11,65,1,35193984.0,0,0,14,426,3
459,8,1,4,42,1,17523332.0,641651,0,4,471,0
460,2,0,11,60,1,18142863.0,1216408,1,28,103,2
461,8,0,5,48,1,233000.0,0,0,19,372,3
462,8,0,11,45,1,933920.0,8525,0,33,158,0
463,8,0,11,54,1,46885000.0,250000,0,6,77,3
464,7,0,11,52,1,1212500.0,0,0,4,222,0
465,7,0,3,42,1,256000.0,0,0,33,464,0
466,1,0,5,35,1,69822063.0,831688,1,25,253,0
467,2,0,11,53,1,41281286.0,2886427,0,15,113,2
468,8,0,9,62,1,10547837.0,211214,0,21,459,3
469,6,0,5,53,1,5661003.0,1080000,0,35,239,2
470,8,0,11,58,1,732083.0,0,0,3,333,0
471,0,0,5,47,0,544790.0,0,1,35,52,0
472,7,1,0,43,1,5746855.0,0,0,14,433,0
473,7,0,11,25,1,3973500.0,0,0,33,29,0
474,6,0,11,34,0,6306588.0,558727,0,6,420,3
475,8,0,0,35,0,1118040.0,400000,0,12,259,0
476,7,0,2,41,1,400000.0,50000,0,1,195,0
477,6,2,11,42,1,45125593.0,27706387,0,30,482,0
478,7,0,5,34,0,125000.0,18000,0,30,505,0
479,7,0,3,61,1,789651.0,112500,0,30,338,0
480,9,0,1,38,1,2175777.0,0,0,30,505,0
481,7,0,0,73,1,11075983.0,0,0,30,443,0
